id,prompt,seed,step,cfg,sampler,width,height,user_name,timestamp,image_nsfw,prompt_nsfw,image_path
0,"a renaissance portrait of dwayne johnson, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, ",2480545905,50,16.0,k_euler_ancestral,512,768,e9dfc969d22cb9c5621ad075b3826c28f18ef3840c6dda59c4ac7daa55241393,2022-08-20 05:28:00+00:00,0.16348764300346375,0.000792665290646255,/content/drive/MyDrive/prompt_recc/Hyelim_first_5k_images/im_in_0.png
1,"portrait of a dancing eagle woman, beautiful blonde haired lakota sioux goddess, intricate, highly detailed art by james jean, ray tracing, digital painting, artstation, concept art, smooth, sharp focus, illustration, artgerm and greg rutkowski and alphonse mucha, vladimir kush, giger, 8 k ",2250159284,50,9.0,k_lms,512,640,aa60a36693bf9e079b421c1200fd42ed94061fb02078adce0a449851b423a66f,2022-08-20 05:28:00+00:00,0.27664950489997864,0.003089671256020665,/content/drive/MyDrive/prompt_recc/Hyelim_first_5k_images/im_in_1.png
2,"epic 3 d, become legend shiji! gpu mecha controlled by telepathic hackers, made of liquid, bubbles, crystals, and mangroves, houdini sidefx, perfect render, artstation trending, by jeremy mann, tsutomi nihei and ilya kuvshinov ",4292948605,50,7.0,k_lms,512,768,3e774662f24c78b0590d57365d755d7dacde8f33dbdc5622f3ed442f46d92075,2022-08-20 05:28:00+00:00,0.09042122215032578,0.0005326936952769756,/content/drive/MyDrive/prompt_recc/Hyelim_first_5k_images/im_in_2.png
3,"an airbrush painting of cyber war machine scene in area 5 1 by destiny womack, gregoire boonzaier, harrison fisher, richard dadd ",2374713726,50,12.0,k_lms,512,768,c2bd0b60caa0aa04d0a7e5972fefc60b21ece352d8835360533103c67111f66e,2022-08-20 05:29:00+00:00,0.07830893248319626,0.0005973228835500777,/content/drive/MyDrive/prompt_recc/Hyelim_first_5k_images/im_in_3.png
4,concept art of a silent hill monster. painted by edward hopper. ,2320897141,50,6.0,k_lms,640,512,08ac4153ab7e13baa55ee74213eb117a29a0024267b29e42dd6a27246d23a30e,2022-08-20 05:29:00+00:00,0.08680187165737152,0.08351638168096542,/content/drive/MyDrive/prompt_recc/Hyelim_first_5k_images/im_in_4.png
5,"a renaissance portrait of dwayne johnson, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, ",1036508665,50,16.0,k_euler_ancestral,512,768,e9dfc969d22cb9c5621ad075b3826c28f18ef3840c6dda59c4ac7daa55241393,2022-08-20 05:29:00+00:00,0.8070936799049377,0.000792665290646255,/content/drive/MyDrive/prompt_recc/Hyelim_first_5k_images/im_in_5.png
6,"portrait of a dancing eagle woman, beautiful blonde haired lakota sioux goddess, intricate, highly detailed art by james jean, ray tracing, digital painting, artstation, concept art, smooth, sharp focus, illustration, artgerm and greg rutkowski and alphonse mucha, vladimir kush, giger, roger dean, 8 k ",2952668618,50,9.0,k_lms,512,640,aa60a36693bf9e079b421c1200fd42ed94061fb02078adce0a449851b423a66f,2022-08-20 05:29:00+00:00,0.09912946820259094,0.0034365227911621332,/content/drive/MyDrive/prompt_recc/Hyelim_first_5k_images/im_in_6.png
7,a cigarette with purple tobacco ,4105914849,50,7.0,k_lms,512,512,4c3ff500a252031cf90371a3e722216fb5bad5eb697351b7245a035632dfdc30,2022-08-20 05:30:00+00:00,0.051866404712200165,0.009575140662491322,/content/drive/MyDrive/prompt_recc/Hyelim_first_5k_images/im_in_7.png
8,photo of very unappetizing food ,230152750,50,7.0,k_lms,512,512,29f87d25cc4022a39afa96e2b951825edbb5541cf849a4ffb52c737065444d43,2022-08-20 05:30:00+00:00,0.05682094767689705,0.0030477247200906277,/content/drive/MyDrive/prompt_recc/Hyelim_first_5k_images/im_in_8.png
9,"a renaissance portrait of will ferrell, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, ",3368560377,50,16.0,k_euler_ancestral,512,768,e9dfc969d22cb9c5621ad075b3826c28f18ef3840c6dda59c4ac7daa55241393,2022-08-20 05:30:00+00:00,0.039891522377729416,0.0008828039863146842,/content/drive/MyDrive/prompt_recc/Hyelim_first_5k_images/im_in_9.png
10,"portrait of a dancing eagle woman, beautiful blonde haired lakota sioux goddess, intricate, highly detailed art by james jean, ray tracing, digital painting, artstation, concept art, smooth, sharp focus, illustration, artgerm and greg rutkowski and alphonse mucha, vladimir kush, giger, roger dean, 8 k ",3095408797,50,9.0,k_lms,512,640,aa60a36693bf9e079b421c1200fd42ed94061fb02078adce0a449851b423a66f,2022-08-20 05:30:00+00:00,0.15498577058315277,0.0034365227911621332,/content/drive/MyDrive/prompt_recc/Hyelim_first_5k_images/im_in_10.png
11,"epic 3 d, matsuragi piloting eva! gpu controlled by plant consciousness, made of liquid, bubbles, crystals, and mangroves, houdini sidefx, perfect render, artstation trending, by jeremy mann, tsutomi nihei and ilya kuvshinov ",3843343878,50,7.0,k_lms,512,768,3e774662f24c78b0590d57365d755d7dacde8f33dbdc5622f3ed442f46d92075,2022-08-20 05:31:00+00:00,0.2100554257631302,0.000321264989906922,/content/drive/MyDrive/prompt_recc/Hyelim_first_5k_images/im_in_11.png
12,"conor mcgregor as a muppet, movie still, 4 k ",3891060337,50,7.0,k_lms,512,512,29f87d25cc4022a39afa96e2b951825edbb5541cf849a4ffb52c737065444d43,2022-08-20 05:31:00+00:00,0.06291954964399338,0.4271034896373749,/content/drive/MyDrive/prompt_recc/Hyelim_first_5k_images/im_in_12.png
13,"portrait of a dancing eagle woman, beautiful blonde haired lakota sioux goddess, intricate, highly detailed art by james jean, ray tracing, digital painting, artstation, concept art, smooth, sharp focus, illustration, artgerm and greg rutkowski and alphonse mucha, vladimir kush, giger, roger dean, 8 k ",711665359,50,9.0,k_lms,512,640,aa60a36693bf9e079b421c1200fd42ed94061fb02078adce0a449851b423a66f,2022-08-20 05:31:00+00:00,0.24522040784358978,0.0034365227911621332,/content/drive/MyDrive/prompt_recc/Hyelim_first_5k_images/im_in_13.png
14,"a renaissance portrait of john c. reilly, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, ",2401265745,50,16.0,k_euler_ancestral,512,768,e9dfc969d22cb9c5621ad075b3826c28f18ef3840c6dda59c4ac7daa55241393,2022-08-20 05:32:00+00:00,0.05611945688724518,0.0008112376090139151,/content/drive/MyDrive/prompt_recc/Hyelim_first_5k_images/im_in_14.png
15,"a stunning portrait of an asian valkyrie with long black hair by artgerm, dynamic lighting, ray tracing, tom bagshaw, alphonse mucha, donata giancola, mary jane ansell, ankh necklace, atmosphere, realism, octane render, dof, hyperdetailed, 8 k ",1991815645,50,7.0,k_lms,512,768,06ac63c6d3ac978fdcb5c576493c4d4b9bd2bb02046a76369d88b70f893b5d29,2022-08-20 05:32:00+00:00,0.22364366054534912,0.0015473444946110249,/content/drive/MyDrive/prompt_recc/Hyelim_first_5k_images/im_in_15.png
16,"portrait of a dancing eagle woman, beautiful blonde haired lakota sioux goddess, intricate, highly detailed art by james jean, ray tracing, digital painting, artstation, concept art, smooth, sharp focus, illustration, artgerm and greg rutkowski and alphonse mucha, vladimir kush, giger, roger dean, casey weldon, 8 k ",4250686946,50,9.0,k_lms,512,640,aa60a36693bf9e079b421c1200fd42ed94061fb02078adce0a449851b423a66f,2022-08-20 05:33:00+00:00,0.1380315124988556,0.0031529089901596308,/content/drive/MyDrive/prompt_recc/Hyelim_first_5k_images/im_in_16.png
17,"a renaissance portrait of dave chappelle, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, ",560280882,50,16.0,k_euler_ancestral,512,768,e9dfc969d22cb9c5621ad075b3826c28f18ef3840c6dda59c4ac7daa55241393,2022-08-20 05:33:00+00:00,0.06948143243789673,0.001002310891635716,/content/drive/MyDrive/prompt_recc/Hyelim_first_5k_images/im_in_17.png
18,"a stunning portrait of an asian valkyrie with long black hair by artgerm, dynamic lighting, ray tracing, tom bagshaw, alphonse mucha, donata giancola, mary jane ansell, ankh necklace, atmosphere, realism, octane render, dof, hyperdetailed, 8 k ",3972593304,50,7.0,k_lms,512,768,06ac63c6d3ac978fdcb5c576493c4d4b9bd2bb02046a76369d88b70f893b5d29,2022-08-20 05:34:00+00:00,0.41282323002815247,0.0015473444946110249,/content/drive/MyDrive/prompt_recc/Hyelim_first_5k_images/im_in_18.png
19,this is a test only a test ,2573255739,50,7.0,k_lms,512,512,9e1ee59715df5370f703859a2b08619783e31f55c0582398ccf719d9f7c68d58,2022-08-20 05:34:00+00:00,0.1776374727487564,0.0009329546010121703,/content/drive/MyDrive/prompt_recc/Hyelim_first_5k_images/im_in_19.png
20,"a renaissance portrait of chris rock, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, ",1841640176,50,16.0,k_euler_ancestral,512,768,e9dfc969d22cb9c5621ad075b3826c28f18ef3840c6dda59c4ac7daa55241393,2022-08-20 05:34:00+00:00,0.0386887788772583,0.000775242515373975,/content/drive/MyDrive/prompt_recc/Hyelim_first_5k_images/im_in_20.png
21,"a beautiful painting of pyramids on the moon by nekro and pascal blanche and syd mead and greg rutkowski and sachin teng and victo ngai and simon stalenhag and chris voy and tsutomu nihei. in style of cg art. ray tracing, cel shading, 3 d. ue 5. hyper detailed. realistic. maya. octane render. ",3844662780,50,7.0,k_lms,512,512,6293952ee615a66942687b495bbcf832954e2a3cd5118f9506cac401ad1ce5ed,2022-08-20 05:35:00+00:00,0.09289520233869553,0.0005330980056896806,/content/drive/MyDrive/prompt_recc/Hyelim_first_5k_images/im_in_21.png
